// Compost colors for industrialupgrade. You may add your own colors, change existing ones, or remove colors that aren't needed.
additionmodule/charger, #ebeba8
daynight_solar_panel_glass/bar, #ddf2ff
daynight_solar_panel_glass/gra, #78e8f2
daynight_solar_panel_glass/hyb, #7cbbee
daynight_solar_panel_glass/kvr, #9da591
daynight_solar_panel_glass/neu, #7f86eb
daynight_solar_panel_glass/pho, #76eb9a
daynight_solar_panel_glass/pro, #bf8af4
daynight_solar_panel_glass/qua, #6fbfca
daynight_solar_panel_glass/sin, #acc2cf
daynight_solar_panel_glass/spe, #ededb4
daynight_solar_panel_glass/ult, #7d9ee0
double_molecular, #3397e0
doublescrapbox, #b18d22
ef/reader, #e6eae0
electronic_stabilizers, #96a4ae
energy/electric_hoe, #d9a170
energy/electric_treetap, #e3b289
energy/electric_wrench, #e6b58c
energy/impmagnet, #906179
energy/magnet, #89737f
energy/molot, #7c6b70
energy/net, #685b44
energy/purifier, #d9a579
energy/relocator, #2a615b
energy/wind_meter, #e4a561
energy/wrench, #ff932d
energy_tools/chainsaw, #b98251
energy_tools/diamond_drill, #d2b287
energy_tools/drill, #e7a175
energy_tools/itemnanosaber, #54251b
energy_tools/itemnanosaber1, #5e5c5b
energy_tools/nano_bow, #5e2320
energy_tools/nano_saber, #292320
energy_tools/nanoaxe, #823040
energy_tools/nanodrill, #501c19
energy_tools/nanopickaxe, #7d3446
energy_tools/nanoshovel, #8c303a
energy_tools/quantum_bow, #9daceb
energy_tools/quantumaxe, #878db6
energy_tools/quantumdrill, #7c8abf
energy_tools/quantumpickaxe, #969bb6
energy_tools/quantumshovel, #808cc8
energy_tools/spectral_bow, #ac7f80
energy_tools/spectralaxe, #729680
energy_tools/spectraldrill, #9b968e
energy_tools/spectralpickaxe, #839a87
energy_tools/spectralshovel, #66977a
energy_tools/ult_vajra, #8a832a
energy_tools/ultddrill, #6c3ea1
energy_tools/vajra, #8d392d
entitymodules/module_mob, #989898
entitymodules/module_player, #bba89e
exchanger/adv_exchanger, #97739a
exchanger/imp_exchanger, #d2c5a2
exchanger/per_exchanger, #72366b
exchanger/simple_exchanger, #a7a8af
excitednucleus/admcore, #ff8966
excitednucleus/adrcore, #ffb664
excitednucleus/advcore, #fb4705
excitednucleus/barcore, #ffb28d
excitednucleus/gracore, #eeab84
excitednucleus/hybcore, #ee8c6b
excitednucleus/kvrcore, #f88d64
excitednucleus/neucore, #f48983
excitednucleus/phocore, #eeb265
excitednucleus/procore, #ff8982
excitednucleus/quacore, #f5976e
excitednucleus/sincore, #ff9a75
excitednucleus/specore, #ffb573
excitednucleus/ultcore, #f08c6c
expmodule, #cfe8bb
extreme_current_converter_to_low, #738a8e
facadeitem, #8da0a8
fan/adv_fan, #7d7946
fan/fan, #5a5a5a
fan/imp_fan, #3a6472
fan/per_fan, #6b4b69
fertilizer, #3d1e07
frame/chance_crossing_1, #fff784
frame/chance_crossing_2, #fec055
frame/chance_crossing_3, #be832a
frame/chance_healing_1, #ffa579
frame/chance_healing_2, #d7724b
frame/chance_healing_3, #91301f
frame/producing_1, #c0dd80
frame/producing_2, #9bac55
frame/producing_3, #516828
frame/slow_aging_1, #eecc87
frame/slow_aging_2, #c59e61
frame/slow_aging_3, #a07a48
frame/speed_birth_rate_1, #ffe1a7
frame/speed_birth_rate_2, #e4af7d
frame/speed_birth_rate_3, #af7f5c
frame/speed_crop_1, #fff493
frame/speed_crop_2, #f0b961
frame/speed_crop_3, #936425
frame/storage_food_1, #fff791
frame/storage_food_2, #eebc5e
frame/storage_food_3, #976c28
frame/storage_jelly_1, #f8ebc3
frame/storage_jelly_2, #cfb998
frame/storage_jelly_3, #968473
gear/aluminium, #d296d6
gear/arsenic, #a2c528
gear/barium, #ffdd23
gear/bismuth, #62c2fe
gear/cadmium, #bc7fe1
gear/caravky, #905b29
gear/chromium, #5cb958
gear/cobalt, #11a2f4
gear/electrium, #ffe626
gear/gadolinium, #f5800e
gear/gallium, #eb9329
gear/germanium, #8d5b29
gear/hafnium, #b9daff
gear/invar, #9e9d9d
gear/iridium, #c9fbfc
gear/magnesium, #f5c0e1
gear/manganese, #ff75ab
gear/mikhail, #6beae7
gear/molybdenum, #a875ff
gear/neodymium, #d76cff
gear/nickel, #f7e896
gear/niobium, #206bab
gear/osmium, #54f7ff
gear/palladium, #ff721e
gear/platium, #62a5ff
gear/polonium, #46c2ff
gear/silver, #d6f2f8
gear/spinel, #fc6bc5
gear/strontium, #b86532
gear/tantalum, #94a74a
gear/thallium, #8cf45f
gear/titanium, #616169
gear/vanady, #b2cf69
gear/wolfram, #b8b8b8
gear/yttrium, #ff5250
gear/zinc, #c9bfac
gear/zirconium, #b97f19
graphene, #515151
graphene_plate, #4b4b4b
graphene_wire, #5c5c5c
gravitool/gravitool, #75621c
helium_cooling_mixture, #76b2c3
high_current_converter_to_low, #a1916b
honey_drop, #fff090
honeycomb, #ffe7b2
hops, #aedc23
imp_bee_frame_template, #613e1c
imp_motors_with_improved_bearings_, #4486dc
itemcoolupgrade/azote, #b56bde
itemcoolupgrade/helium, #cc6be0
itemcoolupgrade/hydrogen, #b469d3
itemcore/admcore, #ddac6b
itemcore/adrcore, #f4dd66
itemcore/advcore, #eeca73
itemcore/barcore, #edd997
itemcore/gracore, #bbcf8d
itemcore/hybcore, #beae70
itemcore/kvrcore, #c8af66
itemcore/neucore, #c3ab8c
itemcore/phocore, #cfd672
itemcore/procore, #d4ab8a
itemcore/quacore, #c9bc76
itemcore/sincore, #d2bf7d
itemcore/specore, #f2da7f
itemcore/ultcore, #bfae73
itemdoubleplates/adamantite, #d44014
itemdoubleplates/aluminium_doubleplate, #bc84c0
itemdoubleplates/arsenic, #9bbc28
itemdoubleplates/barium, #c0a423
itemdoubleplates/bismuth, #3ca1c8
itemdoubleplates/bloodstone, #d91e4a
itemdoubleplates/bronze_doubleplate, #f29844
itemdoubleplates/cadmium, #8c61a2
itemdoubleplates/caravky_doubleplate, #794a1e
itemdoubleplates/chromium_doubleplate, #5abc58
itemdoubleplates/cobalt_doubleplate, #fa8f5
itemdoubleplates/copper_doubleplate, #fa8058
itemdoubleplates/draconid, #eb4e54
itemdoubleplates/electrium_doubleplate, #ffe628
itemdoubleplates/gadolinium, #ae6111
itemdoubleplates/gallium, #faa02f
itemdoubleplates/germanium_doubleplate, #a25f1c
itemdoubleplates/gold_doubleplate, #ffed64
itemdoubleplates/hafnium, #8298b6
itemdoubleplates/invar_doubleplate, #a19d9d
itemdoubleplates/iridium_doubleplate, #c0f0f2
itemdoubleplates/iron_doubleplate, #e6e6e6
itemdoubleplates/lapis_doubleplate, #4480fa
itemdoubleplates/lead_doubleplate, #cddaaf
itemdoubleplates/magnesium_doubleplate, #fecaeb
itemdoubleplates/manganese_doubleplate, #ff75ae
itemdoubleplates/meteoric_iron, #a58d73
itemdoubleplates/mikhail_doubleplate, #7cfefa
itemdoubleplates/molybdenum, #7a5ac3
itemdoubleplates/mythril, #16dcc2
itemdoubleplates/neodymium, #d776fe
itemdoubleplates/nickel_doubleplate, #fef09a
itemdoubleplates/niobium, #2369a7
itemdoubleplates/obsidian_doubleplate, #2c1e43
itemdoubleplates/orichalcum, #a118b8
itemdoubleplates/osmium, #55faff
itemdoubleplates/palladium, #c65a1e
itemdoubleplates/platium_doubleplate, #65acff
itemdoubleplates/polonium, #3d8dd0
itemdoubleplates/silver_doubleplate, #c2d7da
itemdoubleplates/spinel_doubleplate, #f065bc
itemdoubleplates/steel_doubleplate, #afd6eb
itemdoubleplates/strontium, #b86530
itemdoubleplates/tantalum, #899a46
itemdoubleplates/thallium, #62a444
itemdoubleplates/tin_doubleplate, #fbfbfb
itemdoubleplates/titanium_doubleplate, #5b5b64
itemdoubleplates/vanady_doubleplate, #d2c67f
itemdoubleplates/wolfram_doubleplate, #b1b1b1
itemdoubleplates/yttrium, #ff5a57
itemdoubleplates/zinc_doubleplate, #9d9486
itemdoubleplates/zirconium, #ae7d1c
itemdust/alkaline_mixture_dust, #fbfbfb
itemdust/aluminium_dust, #bc84c0
itemdust/aluminumsulfide_dust, #afbc80
itemdust/ammonium_chloride_dust, #ffffff
itemdust/arsenic_dust, #9abb29
itemdust/barium_dust, #bba023
itemdust/bismuth_dust, #479dd6
itemdust/bronze_dust, #f29744
itemdust/cadmium_dust, #895fa0
itemdust/calcium_dust_dust, #ffffff
itemdust/calcium_fluoride_dust, #ffffff
itemdust/calcium_phosphate_dust, #ffffff
itemdust/calcium_silicate_dust, #ffffff
itemdust/calcium_sulfate_dust, #ffffff
itemdust/caravky_dust, #7a4b1e
itemdust/chromium_dust, #5abe58
itemdust/clay_dust, #a8afc2
itemdust/coal_dust, #2c292d
itemdust/cobalt_dust, #11a8f5
itemdust/copper_dust, #fb8258
itemdust/diamond_dust, #78ffff
itemdust/electrium_dust, #ffe728
itemdust/emerald_dust, #41ee73
itemdust/ender_dust, #e6f8f5
itemdust/energium_dust, #ee6868
itemdust/excited_uranium_dust, #eaf7e8
itemdust/gadolinium_dust, #ab5e11
itemdust/gallium_dust, #fa9e30
itemdust/germanium_dust, #965c25
itemdust/ghast_dust, #ffffff
itemdust/gold_dust, #fff064
itemdust/hafnium_dust, #8096b2
itemdust/invar_dust, #a19d9d
itemdust/iridium_dust, #c3f2f4
itemdust/iron_chloride_dust, #fffff2
itemdust/iron_dust, #e7e7e7
itemdust/iron_potassium_dust, #ffd7ee
itemdust/lapis_dust, #4480f5
itemdust/lead_dust, #cfddb2
itemdust/lead_sodium_dust, #ccca9d
itemdust/magnesium_dust, #fecceb
itemdust/manganese_dust, #ff76ae
itemdust/mikhail_dust, #7dfffb
itemdust/molybdenum_dust, #7858be
itemdust/nanoactivated_mixture_dust, #254608
itemdust/neodymium_dust, #dd79ff
itemdust/nickel_dust, #fef09b
itemdust/niobium_dust, #256ba8
itemdust/obsidian_dust, #2c1e41
itemdust/osmium_dust, #55fbff
itemdust/palladium_dust, #c2581e
itemdust/platium_dust, #66acff
itemdust/polonium_dust, #3a89ca
itemdust/potassium_dust, #f8f8f8
itemdust/potassium_iron_syneride_dust, #730808
itemdust/potassium_phosphate_dust, #ffffff
itemdust/quartz_dust, #ffffff
itemdust/silicon_dioxide_dust, #e4b198
itemdust/silicon_dust, #5e5e5e
itemdust/silver_chloride_dust, #ffffff
itemdust/silver_dust, #bfd4d7
itemdust/silver_nitrate_dust, #ffffff
itemdust/slaked_lime_dust, #fefefe
itemdust/sodium_dust, #c9c076
itemdust/sodium_phosphate_dust, #dcd4a2
itemdust/spinel_dust, #f065be
itemdust/stone_dust, #909090
itemdust/strontium_dust, #b66532
itemdust/sulfur_dust, #ffffb6
itemdust/tantalum_dust, #8a9b46
itemdust/thallium_dust, #5fa043
itemdust/tin_dust, #fcfbfb
itemdust/titanium_dust, #5b5b64
itemdust/trinitrotoluene_dust, #edd08e
itemdust/vanady_dust, #c5ca7d
itemdust/wolfram_dust, #b2b1b1
itemdust/yttrium_dust, #ff5c58
itemdust/zinc_dust, #979083
itemdust/zincbromide_dust, #ffffff
itemdust/zirconium_dust, #a87618
itemingots/adamantite, #dd5222
itemingots/alloy_ingot, #e8ccc2
itemingots/aluminium_ingot, #c38ac8
itemingots/arsenic, #a7c92a
itemingots/barium, #ccae26
itemingots/bismuth, #4db5d7
itemingots/bloodstone, #c61844
itemingots/bronze_ingot, #fa9e46
itemingots/cadmium, #9668ac
itemingots/caravky_ingot, #825020
itemingots/chromium_ingot, #5ec65c
itemingots/cobalt_ingot, #fb1ff
itemingots/draconid, #e47c43
itemingots/electrium_ingot, #ffee28
itemingots/gadolinium, #bc6812
itemingots/gallium, #ffa430
itemingots/germanium_ingot, #965c26
itemingots/hafnium, #8aa2c2
itemingots/invar_ingot, #a7a4a4
itemingots/iridium_ingot, #c9fbfc
itemingots/lead_ingot, #d6e3b6
itemingots/magnesium_ingot, #ffd4f5
itemingots/manganese_ingot, #ff7db8
itemingots/meteoric_iron, #af9a83
itemingots/mikhail_ingot, #82ffff
itemingots/molybdenum, #8361d0
itemingots/mythril, #36dcc3
itemingots/neodymium, #e179ff
itemingots/nickel_ingot, #fff7a0
itemingots/niobium, #2370b2
itemingots/orichalcum, #ac29c6
itemingots/osmium, #57ffff
itemingots/palladium, #d4611e
itemingots/platium_ingot, #6bb2ff
itemingots/polonium, #4096dc
itemingots/silver_ingot, #c9dee3
itemingots/spinel_ingot, #fb6bc5
itemingots/steel_ingot, #b4dcf2
itemingots/strontium, #c56b32
itemingots/tantalum, #91a24a
itemingots/thallium, #69b24a
itemingots/tin_ingot, #ffffff
itemingots/titanium_ingot, #626269
itemingots/vanady_ingot, #bec690
itemingots/wolfram_ingot, #bebebe
itemingots/yttrium, #ff5f5b
itemingots/zinc_ingot, #a79e90
itemingots/zirconium, #b6821b
itemiucrafring/itemirradiantglasspane, #ffffff
itemiucrafring/itemirradianturanium, #ccff36
itemiucrafring/itemmtcore, #89e8e8
itemiucrafring/itemuraningot, #84ff68
itemplates/adamantite, #dc4616
itemplates/aluminium_plate, #c087c5
itemplates/arsenic, #a1c22c
itemplates/barium, #af9625
itemplates/bismuth, #3eb2c9
itemplates/bloodstone, #e0204e
itemplates/bronze_plate, #f79e48
itemplates/cadmium, #835e97
itemplates/caravky_plate, #7f4e1f
itemplates/chromium_plate, #5fc25b
itemplates/cobalt_plate, #12acfa
itemplates/copper_plate, #ff845b
itemplates/draconid, #f15852
itemplates/electrium_plate, #ffeb2f
itemplates/gadolinium, #a05b12
itemplates/gallium, #fea233
itemplates/germanium_plate, #b6681b
itemplates/gold_plate, #fff46e
itemplates/hafnium, #798da7
itemplates/invar_plate, #a5a1a1
itemplates/iridium_plate, #c8f7f8
itemplates/iron_plate, #ededed
itemplates/lapis_plate, #4a86ff
itemplates/lead_plate, #d3e1b5
itemplates/magnesium_plate, #ffd0f0
itemplates/manganese_plate, #ff7ab4
itemplates/meteoric_iron, #ab9379
itemplates/mikhail_plate, #82ffff
itemplates/molybdenum, #7255b2
itemplates/mythril, #1be1c8
itemplates/neodymium, #e07cff
itemplates/nickel_plate, #fff4a0
itemplates/niobium, #266fae
itemplates/obsidian_plate, #2f2047
itemplates/orichalcum, #a81cbf
itemplates/osmium, #5bffff
itemplates/palladium, #b5571e
itemplates/platium_plate, #6cb1ff
itemplates/polonium, #3c82bc
itemplates/silver_plate, #bccfd2
itemplates/spinel_plate, #f56bc2
itemplates/steel_plate, #b6dcf1
itemplates/strontium, #be6933
itemplates/tantalum, #8ea048
itemplates/thallium, #5b9741
itemplates/tin_plate, #ffffff
itemplates/titanium_plate, #5e5e66
itemplates/vanady_plate, #cac68a
itemplates/wolfram_plate, #b8b8b8
itemplates/yttrium, #ff615e
itemplates/zinc_plate, #8e877a
itemplates/zirconium, #b5831f
itemspace/ariel_boulder, #7f7f7f
itemspace/ariel_pebble, #797979
itemspace/asteroids_boulder, #a4a4a4
itemspace/asteroids_pebble, #9b9b9b
itemspace/callisto_boulder, #ae9776
itemspace/callisto_pebble, #a28d6e
itemspace/ceres_boulder, #a4a4a4
itemspace/ceres_pebble, #9b9b9b
itemspace/charon_boulder, #ababab
itemspace/charon_pebble, #a7a7a7
itemspace/deimos_boulder, #d2d2c0
itemspace/deimos_pebble, #c9c9b8
itemspace/dione_boulder, #828282
itemspace/dione_pebble, #7d7d7d
itemspace/enceladus_boulder, #848484
itemspace/enceladus_pebble, #808080
itemspace/eris_boulder, #c2bcc2
itemspace/eris_pebble, #beb8be
itemspace/europe_boulder, #a29d7d
itemspace/europe_pebble, #9d9779
itemspace/ganymede_boulder, #ae9776
itemspace/ganymede_pebble, #a28d6e
itemspace/haumea_boulder, #d3cdbc
itemspace/haumea_pebble, #d0c9b8
itemspace/io_boulder, #e0de62
itemspace/io_pebble, #d6d35a
itemspace/makemake_boulder, #b4806f
itemspace/makemake_pebble, #aa7868
itemspace/mars_boulder, #bb8d7d
itemspace/mars_pebble, #b18475
itemspace/mercury_boulder, #7f7f7f
itemspace/mercury_pebble, #797979
itemspace/mimas_boulder, #828282
itemspace/mimas_pebble, #7d7d7d
itemspace/miranda_boulder, #7f7f7f
itemspace/miranda_pebble, #797979
itemspace/moon_boulder, #f2f2f2
itemspace/moon_pebble, #ebebeb
itemspace/oberon_boulder, #826f65
itemspace/oberon_pebble, #78655c
itemspace/phobos_boulder, #ffffe6
itemspace/phobos_pebble, #f8f8dc
itemspace/pluto_boulder, #b5aca4
itemspace/pluto_pebble, #aca298
itemspace/proteus_boulder, #c0beb5
itemspace/proteus_pebble, #bebbb1
itemspace/rhea_boulder, #5c5c5c
itemspace/rhea_pebble, #585858
itemspace/tethys_boulder, #6e6e6e
itemspace/tethys_pebble, #696969
itemspace/titan_boulder, #ae9054
itemspace/titan_pebble, #a88c50
itemspace/titania_boulder, #918072
itemspace/titania_pebble, #8c7c6c
itemspace/triton_boulder, #9e9b93
itemspace/triton_pebble, #9a9790
itemspace/umbriel_boulder, #828280
itemspace/umbriel_pebble, #7c7c7c
itemspace/venus_boulder, #dedd9b
itemspace/venus_pebble, #d4d393
itemsunnarium/sunnarium2, #ffffb9
itemsunnarium/sunnarium_enriched, #b4ffb8
itemsunnarium/sunnarium_enriched_plate, #b9ff8d
itemsunnarium/sunnarium_plate, #ffff7a
itemsunnarium/sunnariumpart, #ffffd3
itemsunnariumpanel/admsp, #ffbc5b
itemsunnariumpanel/adspp, #ffff91
itemsunnariumpanel/bsp, #ffffff
itemsunnariumpanel/gsp, #3adcff
itemsunnariumpanel/hsp, #3d76c0
itemsunnariumpanel/ksp, #ddaf40
itemsunnariumpanel/nsp, #55aaff
itemsunnariumpanel/phsp, #61ff72
itemsunnariumpanel/psp, #d737ff
itemsunnariumpanel/qsp, #4ab57d
itemsunnariumpanel/spsp, #ffff75
itemsunnariumpanel/ssp, #e8eef0
itemsunnariumpanel/usp, #7941b9
jar_bee/bees, #86a73e
larva, #d7ccc3
laser, #c96220
lens/aerlinse, #72ffff
lens/earthlinse, #44c518
lens/endlinse, #797cf0
lens/netherlinse, #bf1515
lens/nightlinse, #262626
lens/rainlinse, #6658ff
lens/sunlinse, #ffff47
medium_current_converter_to_low, #8a7f65
mesh/boridehafniummesh, #8ca7ac
mesh/ironmesh, #dadada
mesh/steelmesh, #acbbc6
mesh/steleticmesh, #12b9a7
mesh/vanadiumaluminummesh, #9687be
module_infinity_water, #b6cde3
module_quickly, #f0dca1
module_schedule, #dadada
module_separate, #bcccc5
module_stack, #e0b497
module_storage, #c0ccc8
modules/genday, #b6b165
modules/genday1, #82949a
modules/genday2, #b67d98
modules/gennight, #a5a576
modules/gennight1, #6f89ab
modules/gennight2, #a572aa
modules/moonlinse, #b59b43
modules/moonlinse1, #7f7f79
modules/moonlinse2, #b56876
modules/output, #838965
modules/output1, #4e6c9a
modules/output2, #835598
modules/phase, #bea544
modules/phase1, #878979
modules/phase2, #be7278
modules/storage, #839079
modules/storage1, #4d73af
modules/storage2, #835bac
modulestype/module61, #8e7657
modulestype/module62, #50667c
modulestype/module63, #505572
modulestype/module64, #486968
modulestype/module65, #8d825a
modulestype/module66, #754b80
modulestype/module67, #69696b
modulestype/module68, #874e4e
modulestype/module69, #4d824d
modulestype/module70, #51487a
modulestype/module91, #868787
modulestype/module92, #8a8755
modulestype/module93, #4e8280
modulestype/module94, #645c4a
modultype/module51, #87a4ae
modultype/module52, #65695c
modultype/module53, #725454
modultype/module54, #acae8e
modultype/module55, #6f756b
modultype/module56, #838e6b
modultype/module57, #657d86
motors_with_improved_bearings_, #afa093
nanobox, #402a2a
nether_star_ingot, #c9e7d4
neutronium, #7c9de7
neutroniumingot, #3c57c3
night_solar_panel_glass/adm, #ffaab2
night_solar_panel_glass/adr, #ffffc5
night_solar_panel_glass/adv, #fff2bf
night_solar_panel_glass/bar, #ffffff
night_solar_panel_glass/gra, #a2ffff
night_solar_panel_glass/hyb, #a7d4ff
night_solar_panel_glass/kvr, #c9c0a8
night_solar_panel_glass/neu, #aaa0ff
night_solar_panel_glass/pho, #a2ffb1
night_solar_panel_glass/pro, #eaa4ff
night_solar_panel_glass/qua, #9adae1
night_solar_panel_glass/sin, #d7dde6
night_solar_panel_glass/spe, #ffffca
night_solar_panel_glass/ult, #a8b8f8
nuclearresource/americium_dust, #97c0e8
nuclearresource/americium_smalldust, #8eb6de
nuclearresource/curium_dust, #839880
nuclearresource/curium_smalldust, #7f937a
nuclearresource/mox, #9ed391
nuclearresource/mox_pellet, #89b873
nuclearresource/neptunium_dust, #738269
nuclearresource/neptunium_smalldust, #6e7c64
nuclearresource/plutonium, #d0d0d0
nuclearresource/small_plutonium, #e3e3e3
nuclearresource/small_uranium_235, #90fe32
nuclearresource/small_uranium_238, #82f550
nuclearresource/thorium_shard, #97989e
nuclearresource/unprocessed_radioactive_americium, #98b2ca
nuclearresource/unprocessed_radioactive_curium, #8e9d8d
nuclearresource/unprocessed_radioactive_neptunium, #86907f
nuclearresource/unprocessed_radioactive_thorium, #9d9ea1
nuclearresource/unprocessed_radioactive_uranium, #82ca65
nuclearresource/uranium, #8df840
nuclearresource/uranium_235, #96ff3e
nuclearresource/uranium_238, #86f452
nuclearresource/uranium_pellet, #a0f168
nugget/aluminium, #ffffff
nugget/arsenic, #b8b647
nugget/barium, #ffd036
nugget/bismuth, #8e91c8
nugget/cadmium, #ffffff
nugget/caravky, #ffffff
nugget/chromium, #ffffff
nugget/cobalt, #ffffff
nugget/electrium, #ffffff
nugget/gadolinium, #f48920
nugget/gallium, #dd9440
nugget/germanium, #ffffff
nugget/hafnium, #b4bfd6
nugget/invar, #ffffff
nugget/iridium, #ffffff
nugget/magnesium, #ffffff
nugget/manganese, #ffffff
nugget/mikhail, #ffffff
nugget/molybdenum, #b480e0
nugget/neodymium, #e1afd3
nugget/nickel, #ffffff
nugget/niobium, #6594be
nugget/osmium, #ffffff
nugget/palladium, #ff8d39
nugget/platium, #ffffff
nugget/polonium, #b9ffff
nugget/silver, #ffffff
nugget/spinel, #ffffff
nugget/strontium, #c87940
nugget/tantalum, #ffffff
nugget/thallium, #96d05a
nugget/titanium, #ffffff
nugget/vanady, #ffffff
nugget/wolfram, #ffffff
nugget/yttrium, #ff8473
nugget/zinc, #ffffff
nugget/zirconium, #c8943a
paints/bluepaint, #b6edff
paints/darkbluepaint, #bbc6ff
paints/emptybox, #ffffff
paints/greenpaint, #bbffd3
paints/lightyellowpaint, #fffff4
paints/limepaint, #e6ffff
paints/orangepaint, #fffec3
paints/purplepaint, #f0c2ff
paints/redpaint, #ffc5c8
paints/turquoisepaint, #bbffff
paints/whitepaint, #ffffff
paints/yellowpaint, #ffffc8
peat_balls, #a8844d
pellets/americium_pellet, #91c3f5
pellets/berkelium_gem_pellet, #c3c3c3
pellets/california_pellet, #6f8cd3
pellets/curium_pellet, #9db6a2
pellets/einsteinium_gem_pellet, #337cda
pellets/fermium_pellet, #f7fe5b
pellets/lawrencium_pellet, #5bfcfe
pellets/mendelevium_gem_pellet, #5c5c5c
pellets/neptunium_pellet, #94ab83
pellets/nobelium_pellet, #b2bbe1
pellets/proton_pellet, #cc5bfe
pellets/rad_toriy_pellet, #965bfe
pellets/uran233_gem_pellet, #6bac19
phosphorus_oxide, #ffffff
photoniumglass/photoniyglass1, #ffc85c
photoniumglass/photoniyglass10, #5034d4
photoniumglass/photoniyglass11, #fbfbfb
photoniumglass/photoniyglass12, #ffff62
photoniumglass/photoniyglass13, #43e8e4
photoniumglass/photoniyglass14, #846e34
photoniumglass/photoniyglass2, #4a94d9
photoniumglass/photoniyglass3, #4d61c2
photoniumglass/photoniyglass4, #339d98
photoniumglass/photoniyglass5, #ffee6f
photoniumglass/photoniyglass6, #c23de4
photoniumglass/photoniyglass7, #a2a2a2
photoniumglass/photoniyglass8, #fe4646
photoniumglass/photoniyglass9, #41ed43
photoniy, #333ea2
photoniy_ingot, #e1986
pipette, #ae6bf1
plant_mixture, #ffffff
plast, #b6b6b6
plastic_plate, #c8c8c8
polished_stick, #f7ebd9
polonium_palladium_composite, #a8c2e4
preciousgem/ruby_gem, #ff7a68
preciousgem/sapphire_gem, #aac9ff
preciousgem/topaz_gem, #ffff7c
pumps/adv_pump, #2d2d2d
pumps/imp_pump, #ffff5c
pumps/per_pump, #e3d9bc
pumps/pump, #dcdcdc
purifiedcrushed/aluminium, #cca7cc
purifiedcrushed/arsenic, #edff4d
purifiedcrushed/barium, #ffff40
purifiedcrushed/bismuth, #7cdeeb
purifiedcrushed/cadmium, #ffffff
purifiedcrushed/chromium, #72e175
purifiedcrushed/cobalt, #1fd3ff
purifiedcrushed/copper, #ffa540
purifiedcrushed/gadolinium, #ffbe29
purifiedcrushed/gallium, #ffc850
purifiedcrushed/germanium, #d08337
purifiedcrushed/gold, #ffff7d
purifiedcrushed/hafnium, #d7faff
purifiedcrushed/iridium, #ffffff
purifiedcrushed/iron, #ffffff
purifiedcrushed/lead, #edf5bf
purifiedcrushed/magnesium, #ffffff
purifiedcrushed/manganese, #ffd9f8
purifiedcrushed/mikhail, #a8ffff
purifiedcrushed/molybdenum, #d0a7ff
purifiedcrushed/neodymium, #f0b9fa
purifiedcrushed/nickel, #ffffc5
purifiedcrushed/niobium, #328ede
purifiedcrushed/osmium, #ffffff
purifiedcrushed/palladium, #ffdc5c
purifiedcrushed/platinum, #93d3ff
purifiedcrushed/polonium, #6bedff
purifiedcrushed/silver, #ffffff
purifiedcrushed/spinel, #ff8dd6
purifiedcrushed/strontium, #ff9141
purifiedcrushed/tantalum, #ffffff
purifiedcrushed/thallium, #a7ff7a
purifiedcrushed/tin, #ffffff
purifiedcrushed/titanium, #626268
purifiedcrushed/uranium, #97ff79
purifiedcrushed/vanadium, #b4c2d6
purifiedcrushed/wolfram, #ededed
purifiedcrushed/yttrium, #ff9691
purifiedcrushed/zinc, #ffffff
purifiedcrushed/zirconium, #ffc837
quad_molecular, #3396de
quantumitems2, #ffffff
quantumitems3, #d9dcff
quantumitems4, #ffffff
quantumitems6, #d4d7fa
quantumitems7, #432c2c
quarrymodule, #b8c2c2
quarrymodules/blackmodule, #7de4e1
quarrymodules/comb_macerator, #84f8ee
quarrymodules/ef, #82ffff
quarrymodules/ef1, #83ffff
quarrymodules/ef2, #83fffe
quarrymodules/ef3, #7dfff5
quarrymodules/ef4, #a8e0ff
quarrymodules/for1, #7ffff2
quarrymodules/for2, #a4ffee
quarrymodules/for3, #79ffff
quarrymodules/kar1, #9debea
quarrymodules/kar2, #78ffff
quarrymodules/kar3, #9af0ff
quarrymodules/macerator, #80ede4
quarrymodules/per, #80ebe3
quarrymodules/whitemodule, #a8ffff
radiationresources/americium_gem, #8eb8e3
radiationresources/berkelium_gem, #ffffff
radiationresources/california_gem, #486cb4
radiationresources/curium_gem, #72846f
radiationresources/einsteinium_gem, #d3f7ff
radiationresources/fermium, #c6c87a
radiationresources/lawrencium, #69cab5
radiationresources/mendelevium_gem, #9a9a9a
radiationresources/neptunium_gem, #79876e
radiationresources/nobelium, #969acd
radiationresources/rad_toriy, #86b979
radiationresources/uran233_gem, #2fae33
raspberry, #f01c3e
raw_apatite, #72dced
raw_ingot/raw_ingot_aluminium, #e8d6e8
raw_ingot/raw_ingot_arsenic, #deeeaa
raw_ingot/raw_ingot_barium, #ffffc8
raw_ingot/raw_ingot_bismuth, #dcf2ff
raw_ingot/raw_ingot_cadmium, #dacde1
raw_ingot/raw_ingot_chromium, #bcddbc
raw_ingot/raw_ingot_cobalt, #a5e8ff
raw_ingot/raw_ingot_copper, #ffdab1
raw_ingot/raw_ingot_gadolinium, #ffbf8c
raw_ingot/raw_ingot_gallium, #ffdcae
raw_ingot/raw_ingot_germanium, #d4c2b1
raw_ingot/raw_ingot_gold, #ffffbe
raw_ingot/raw_ingot_hafnium, #f5ffff
raw_ingot/raw_ingot_iridium, #ffffff
